Order_ID,Order_Date,Customer_ID,City,Category,Product,Sales,Quantity,Profit
1001,2024-01-05,C001,Mumbai,Electronics,Headphones,1500,2,300
1002,2024-01-07,C002,Delhi,Furniture,Chair,3200,1,500
1003,2024-01-10,C003,Bangalore,Clothing,T-Shirt,800,3,200
1004,2024-01-12,C004,Chennai,Electronics,Mobile,15000,1,2500
1005,2024-01-15,C005,Hyderabad,Clothing,Jeans,2000,2,400
1006,2024-02-01,C001,Mumbai,Furniture,Table,5500,1,800
1007,2024-02-03,C002,Delhi,Electronics,Laptop,45000,1,5000
1008,2024-02-05,C006,Pune,Clothing,Jacket,2500,2,600
1009,2024-02-08,C007,Kolkata,Furniture,Sofa,12000,1,2000
1010,2024-02-12,C008,Ahmedabad,Electronics,Tablet,12000,1,1800
1011,2024-02-15,C009,Jaipur,Clothing,Shirt,1200,2,300
1012,2024-02-18,C010,Surat,Furniture,Bed,20000,1,3500
1013,2024-03-01,C003,Bangalore,Electronics,Smartwatch,5000,1,900
1014,2024-03-04,C004,Chennai,Clothing,Saree,3500,1,700
1015,2024-03-07,C005,Hyderabad,Furniture,Wardrobe,18000,1,3000
1016,2024-03-10,C006,Pune,Electronics,Camera,25000,1,4000
1017,2024-03-12,C007,Kolkata,Clothing,Shoes,2200,2,500
1018,2024-03-15,C008,Ahmedabad,Furniture,Desk,7000,1,1200
1019,2024-03-18,C009,Jaipur,Electronics,Speaker,3000,2,600
1020,2024-03-20,C010,Surat,Clothing,Kurta,1500,2,300
1021,2024-04-02,C001,Mumbai,Furniture,Chair,3000,1,400
1022,2024-04-05,C002,Delhi,Electronics,Mobile,18000,1,2800
1023,2024-04-07,C003,Bangalore,Clothing,T-Shirt,900,3,250
1024,2024-04-10,C004,Chennai,Furniture,Table,6000,1,900
1025,2024-04-12,C005,Hyderabad,Electronics,Laptop,50000,1,6000
1026,2024-04-15,C006,Pune,Clothing,Jacket,2700,2,650
1027,2024-04-18,C007,Kolkata,Furniture,Sofa,14000,1,2500
1028,2024-04-20,C008,Ahmedabad,Electronics,Tablet,13000,1,2000
1029,2024-04-22,C009,Jaipur,Clothing,Shirt,1300,2,320
1030,2024-04-25,C010,Surat,Furniture,Bed,21000,1,3600
1031,2024-05-01,C001,Mumbai,Electronics,Headphones,1700,2,350
1032,2024-05-03,C002,Delhi,Furniture,Chair,3300,1,550
1033,2024-05-05,C003,Bangalore,Clothing,T-Shirt,850,3,220
1034,2024-05-07,C004,Chennai,Electronics,Mobile,16000,1,2600
1035,2024-05-10,C005,Hyderabad,Clothing,Jeans,2100,2,450
1036,2024-05-12,C006,Pune,Furniture,Table,5800,1,850
1037,2024-05-15,C007,Kolkata,Electronics,Laptop,47000,1,5200
1038,2024-05-18,C008,Ahmedabad,Clothing,Jacket,2600,2,620
1039,2024-05-20,C009,Jaipur,Furniture,Sofa,12500,1,2100
1040,2024-05-22,C010,Surat,Electronics,Tablet,12500,1,1900
